manip;HE;conc_mg_L;DO
manip 0422;Cu;7,8125;0,2075
manip 0422;Cu;7,8125;0,1755
manip 0422;Cu;15,625;0,175
manip 0422;Cu;15,625;0,186
manip 0422;Cu;15,625;0,171
manip 0422;Cu;15,625;0,175
manip 0422;Cu;31,25;0,1945
manip 0422;Cu;31,25;0,1365
manip 0422;Cu;31,25;0,1715
manip 0422;Cu;31,25;0,1365
manip 0422;Cu;62,5;0,121
manip 0422;Cu;62,5;0,108
manip 0422;Cu;62,5;0,107
manip 0422;Cu;62,5;0,14
manip 0422;Cu;125;0,05
manip 0422;Cu;125;0,05
manip 0422;Cu;125;0,064
manip 0422;Cu;125;0,063
manip 0422;Cu;250;0,011
manip 0422;Cu;250;0,016
manip 0422;Cu;250;0,018
manip 0422;Cu;250;0,016
manip 0422;Cu;500;0,016
manip 0422;Cu;500;0,016
manip 0422;Cu;500;0,014
manip 0422;Cu;500;0,016
manip 0422;Cu;1000;0,012
manip 0422;Cu;1000;0,006
manip 0422;Cu;1000;0,013
manip 0422;Cu;1000;0,007
manip 0506;M6 ;0;0,281
manip 0506;M6 ;0;0,268
manip 0506;M6 ;0;0,271
manip 0506;M6 ;0;
manip 0506;M6 ;0,4225;0,2495
manip 0506;M6 ;0,4225;0,2645
manip 0506;M6 ;0,4225;0,2535
manip 0506;M6 ;0,4225;0,2375
manip 0506;M6 ;0,845;0,244
manip 0506;M6 ;0,845;0,248
manip 0506;M6 ;0,845;0,249
manip 0506;M6 ;0,845;0,236
manip 0506;M6 ;1,69;0,256
manip 0506;M6 ;1,69;0,268
manip 0506;M6 ;1,69;
manip 0506;M6 ;1,69;0,251
manip 0506;M6 ;3,38;0,243
manip 0506;M6 ;3,38;0,237
manip 0506;M6 ;3,38;
manip 0506;M6 ;3,38;0,241
manip 0506;M6 ;6,75;0,251
manip 0506;M6 ;6,75;0,25
manip 0506;M6 ;6,75;0,238
manip 0506;M6 ;6,75;0,243
manip 0506;M6 ;13,5;0,2395
manip 0506;M6 ;13,5;0,2305
manip 0506;M6 ;13,5;0,2015
manip 0506;M6 ;13,5;0,2415
manip 0506;M6 ;27;0,242
manip 0506;M6 ;27;0,206
manip 0506;M6 ;27;0,203
manip 0506;M6 ;27;0,206
manip 0506;M6 ;54;0,15
manip 0506;M6 ;54;0,117
manip 0506;M6 ;54;0,194
manip 0506;M6 ;54;0,156
manip 0506;M6 ;108;
manip 0506;M6 ;108;0,011
manip 0506;M6 ;108;0,02
manip 0506;M6 ;108;0,019
manip 0506;M6 ;216;0,008
manip 0506;M6 ;216;0,013
manip 0506;M6 ;216;0,028
manip 0506;M6 ;216;0,01
manip 0506;M6 ;432;0,009
manip 0506;M6 ;432;0,011
manip 0506;M6 ;432;0,012
manip 0506;M6 ;432;0,01
manip 0506;M7;0;0,294
manip 0506;M7;0;0,256
manip 0506;M7;0;0,276
manip 0506;M7;0;0,263
manip 0506;M7;0,4025;0,264
manip 0506;M7;0,4025;
manip 0506;M7;0,4025;0,257
manip 0506;M7;0,4025;0,249
manip 0506;M7;0,805;0,243
manip 0506;M7;0,805;0,248
manip 0506;M7;0,805;0,236
manip 0506;M7;0,805;0,222
manip 0506;M7;1,61;
manip 0506;M7;1,61;0,245
manip 0506;M7;1,61;
manip 0506;M7;1,61;
manip 0506;M7;3,22;0,2665
manip 0506;M7;3,22;0,2565
manip 0506;M7;3,22;
manip 0506;M7;3,22;0,2265
manip 0506;M7;6,44;0,2485
manip 0506;M7;6,44;0,2415
manip 0506;M7;6,44;0,2055
manip 0506;M7;6,44;0,2065
manip 0506;M7;12,88;
manip 0506;M7;12,88;0,2355
manip 0506;M7;12,88;0,2155
manip 0506;M7;12,88;0,1845
manip 0506;M7;25,75;0,1775
manip 0506;M7;25,75;0,2255
manip 0506;M7;25,75;0,1695
manip 0506;M7;25,75;0,1815
manip 0506;M7;51,5;0,0995
manip 0506;M7;51,5;0,0745
manip 0506;M7;51,5;0,0645
manip 0506;M7;51,5;0,1355
manip 0506;M7;103;0,005
manip 0506;M7;103;0,009
manip 0506;M7;103;
manip 0506;M7;103;0,009
manip 0506;M7;206;0,005
manip 0506;M7;206;0,005
manip 0506;M7;206;
manip 0506;M7;206;0,001
manip 0506;M7;412;-0,004
manip 0506;M7;412;0,002
manip 0506;M7;412;-0,003
manip 0506;M7;412;
manip 0506;M8;0;0,269
manip 0506;M8;0;0,217
manip 0506;M8;0;0,263
manip 0506;M8;0;
manip 0506;M8;0,4225;0,266
manip 0506;M8;0,4225;0,191
manip 0506;M8;0,4225;0,22
manip 0506;M8;0,4225;0,215
manip 0506;M8;0,845;0,188
manip 0506;M8;0,845;0,189
manip 0506;M8;0,845;0,168
manip 0506;M8;0,845;0,192
manip 0506;M8;1,69;
